Id,ActivityDate,ActivityTime,TotalIntensity,AverageIntensity
1503960366,12/04/2016,00:00:00,20,0.333
1503960366,12/04/2016,01:00:00,8,0.133
1503960366,12/04/2016,02:00:00,7,0.117
1503960366,12/04/2016,03:00:00,0,0.000
1503960366,12/04/2016,04:00:00,0,0.000
1503960366,12/04/2016,05:00:00,0,0.000
1503960366,12/04/2016,06:00:00,0,0.000
1503960366,12/04/2016,07:00:00,0,0.000
1503960366,12/04/2016,08:00:00,13,0.217
1503960366,12/04/2016,09:00:00,30,0.500
1503960366,12/04/2016,10:00:00,29,0.483
1503960366,12/04/2016,11:00:00,12,0.200
1503960366,12/04/2016,12:00:00,11,0.183
1503960366,12/04/2016,13:00:00,6,0.100
1503960366,12/04/2016,14:00:00,36,0.600
1503960366,12/04/2016,15:00:00,58,0.967
1503960366,12/04/2016,16:00:00,13,0.217
1503960366,12/04/2016,17:00:00,16,0.267
1503960366,12/04/2016,18:00:00,29,0.483
1503960366,12/04/2016,19:00:00,39,0.650
1503960366,12/04/2016,20:00:00,41,0.683
1503960366,12/04/2016,21:00:00,31,0.517
1503960366,12/04/2016,22:00:00,9,0.150
1503960366,12/04/2016,23:00:00,21,0.350
1503960366,13/04/2016,00:00:00,14,0.233
1503960366,13/04/2016,01:00:00,0,0.000
1503960366,13/04/2016,02:00:00,0,0.000
1503960366,13/04/2016,03:00:00,4,0.067
1503960366,13/04/2016,04:00:00,0,0.000
1503960366,13/04/2016,05:00:00,0,0.000
1503960366,13/04/2016,06:00:00,0,0.000
1503960366,13/04/2016,07:00:00,8,0.133
1503960366,13/04/2016,08:00:00,12,0.200
1503960366,13/04/2016,09:00:00,27,0.450
1503960366,13/04/2016,10:00:00,15,0.250
1503960366,13/04/2016,11:00:00,16,0.267
1503960366,13/04/2016,12:00:00,15,0.250
1503960366,13/04/2016,13:00:00,10,0.167
1503960366,13/04/2016,14:00:00,46,0.767
1503960366,13/04/2016,15:00:00,13,0.217
1503960366,13/04/2016,16:00:00,10,0.167
1503960366,13/04/2016,17:00:00,23,0.383
1503960366,13/04/2016,18:00:00,25,0.417
1503960366,13/04/2016,19:00:00,13,0.217
1503960366,13/04/2016,20:00:00,0,0.000
1503960366,13/04/2016,21:00:00,0,0.000
1503960366,13/04/2016,22:00:00,11,0.183
1503960366,13/04/2016,23:00:00,56,0.933
1503960366,14/04/2016,00:00:00,4,0.067
1503960366,14/04/2016,01:00:00,3,0.050
1503960366,14/04/2016,02:00:00,0,0.000
1503960366,14/04/2016,03:00:00,0,0.000
1503960366,14/04/2016,04:00:00,0,0.000
1503960366,14/04/2016,05:00:00,0,0.000
1503960366,14/04/2016,06:00:00,0,0.000
1503960366,14/04/2016,07:00:00,0,0.000
1503960366,14/04/2016,08:00:00,0,0.000
1503960366,14/04/2016,09:00:00,14,0.233
1503960366,14/04/2016,10:00:00,23,0.383
1503960366,14/04/2016,11:00:00,7,0.117
1503960366,14/04/2016,12:00:00,18,0.300
1503960366,14/04/2016,13:00:00,54,0.900
1503960366,14/04/2016,14:00:00,22,0.367
1503960366,14/04/2016,15:00:00,7,0.117
1503960366,14/04/2016,16:00:00,25,0.417
1503960366,14/04/2016,17:00:00,5,0.083
1503960366,14/04/2016,18:00:00,12,0.200
1503960366,14/04/2016,19:00:00,1,0.017
1503960366,14/04/2016,20:00:00,24,0.400
1503960366,14/04/2016,21:00:00,57,0.950
1503960366,14/04/2016,22:00:00,17,0.283
1503960366,14/04/2016,23:00:00,0,0.000
1503960366,15/04/2016,00:00:00,6,0.100
1503960366,15/04/2016,01:00:00,5,0.083
1503960366,15/04/2016,02:00:00,7,0.117
1503960366,15/04/2016,03:00:00,0,0.000
1503960366,15/04/2016,04:00:00,0,0.000
1503960366,15/04/2016,05:00:00,1,0.017
1503960366,15/04/2016,06:00:00,0,0.000
1503960366,15/04/2016,07:00:00,1,0.017
1503960366,15/04/2016,08:00:00,5,0.083
1503960366,15/04/2016,09:00:00,2,0.033
1503960366,15/04/2016,10:00:00,8,0.133
1503960366,15/04/2016,11:00:00,23,0.383
1503960366,15/04/2016,12:00:00,13,0.217
1503960366,15/04/2016,13:00:00,9,0.150
1503960366,15/04/2016,14:00:00,0,0.000
1503960366,15/04/2016,15:00:00,0,0.000
1503960366,15/04/2016,16:00:00,0,0.000
1503960366,15/04/2016,17:00:00,47,0.783
1503960366,15/04/2016,18:00:00,22,0.367
1503960366,15/04/2016,19:00:00,32,0.533
1503960366,15/04/2016,20:00:00,8,0.133
1503960366,15/04/2016,21:00:00,14,0.233
1503960366,15/04/2016,22:00:00,66,1.100
1503960366,15/04/2016,23:00:00,95,1.583
1503960366,16/04/2016,00:00:00,15,0.250
1503960366,16/04/2016,01:00:00,0,0.000
1503960366,16/04/2016,02:00:00,3,0.050
1503960366,16/04/2016,03:00:00,1,0.017
1503960366,16/04/2016,04:00:00,1,0.017
1503960366,16/04/2016,05:00:00,1,0.017
1503960366,16/04/2016,06:00:00,0,0.000
1503960366,16/04/2016,07:00:00,4,0.067
1503960366,16/04/2016,08:00:00,9,0.150
1503960366,16/04/2016,09:00:00,38,0.633
1503960366,16/04/2016,10:00:00,14,0.233
1503960366,16/04/2016,11:00:00,30,0.500
